Mass	TransverseMass	Lxy	d0/sigmaL	d0/sigmaH	eventWeight	Run	Lumi	Event
75.8447	112.877	0.0917095	-14.6322	-36.9143	1	194050	485	468790550
38.4673	221.096	0.0215618	12.3685	-13.5754	1	194076	109	122200979
110.745	182.45	0.0569014	-14.1779	-12.5573	1	194533	74	70945754
79.7186	91.3543	0.0443968	14.0664	15.0083	1	195868	153	256473589
67.9804	118.796	0.0525843	-24.9002	-27.9106	1	196437	166	156558513
75.8391	119.913	0.0927886	-22.839	20.675	1	194210	525	492378168
79.7687	127.808	0.0275744	-18.9691	-13.8411	1	194223	71	32824579
66.4268	283.916	0.031251	-12.0797	-12.1736	1	196027	21	32749764
67.2314	209.966	0.0806338	-38.792	12.7228	1	194912	935	1388418876
27.0487	145.681	0.0813674	-13.5577	50.9503	1	195930	218	180786604
64.9528	119.832	0.0341112	-20.0296	-14.7549	1	195930	227	189554058
17.7612	102.01	0.035581	-24.3446	15.8436	1	195655	491	535235182
20.6937	141.154	0.0720194	15.6647	-37.0195	1	196531	403	573837238
94.1508	159.926	0.066059	17.826	17.8285	1	196531	244	335774779
18.0661	85.023	0.0495571	14.1067	-18.7823	1	196250	340	554125284
133.494	232.722	0.0255681	-12.414	-13.3332	1	195915	166	293314779
112.887	235.698	0.175246	-43.2099	-30.3543	1	194704	356	317849720
62.1454	91.7071	0.031287	-18.447	-20.805	1	194304	38	60005902
81.7582	223.395	0.0770546	-51.1516	-33.5432	1	194108	855	814509574
54.3144	79.6631	0.0485596	-26.7935	-22.7702	1	195304	930	1042967553
91.5221	314.671	0.0392173	-19.1253	-17.7189	1	194912	740	1156067912
75.5491	185.723	0.0552156	-21.4254	-20.4941	1	195378	580	721102310
63.0586	97.2859	0.0428751	-18.3237	-17.7646	1	195655	416	461259224
64.7425	150.169	0.0755213	-44.9758	-28.0535	1	195947	50	112003304
57.8072	152.639	0.0265944	16.4479	-17.9204	1	195164	50	74090567
101.251	152.436	0.0496579	-23.1493	-14.7495	1	194210	182	178316933
70.4435	124.629	0.0519435	-19.6561	-20.4412	1	195016	507	540460607
35.6774	149.353	0.0300792	16.3661	-18.4596	1	194533	588	782701581
96.9132	195.593	0.0255838	-14.5546	-15.6516	1	194424	292	419003891
98.5877	170.402	0.0574703	-29.6169	-24.887	1	195398	842	710043549
65.1869	90.2668	0.911616	-18.0497	-23.1372	1	194050	1565	1389560188
58.6137	87.4934	0.0892255	12.2958	-28.8099	1	194643	48	63987326
16.2965	180.262	0.0179398	14.1079	-15.0937	1	195915	602	890571208
101.871	176.437	0.0769046	-24.8784	38.4632	1	194224	405	587078601
86.1434	306.46	0.041291	-13.6276	-14.88	1	195013	213	295746467
86.6131	174.608	0.0306986	-12.2287	-13.233	1	195655	230	267334842
59.1898	67.2907	0.0410045	-16.9189	-12.8786	1	195775	78	73940647
100.21	257.147	0.0384307	-21.2423	-14.0501	1	196453	1590	1395458327
70.8918	114.524	0.0515073	-33.8134	-38.17	1	195530	521	708613257
141.601	211.195	0.0396317	-24.4596	-25.2996	1	195378	873	1017841584
31.1019	185.814	0.0463646	-29.4916	21.2776	1	194480	871	781159593
