Mass	TransverseMass	Lxy	d0/sigmaL	d0/sigmaH	eventWeight	Run	Lumi	Event
90.141	146.373	0.0903473	-41.9887	-41.385	1	201229	2	2602568
58.1891	79.0324	0.0722165	-51.2225	-35.2862	1	201554	118	116188945
80.4017	118.943	0.024994	-12.9789	-15.0951	1	199409	103	139746182
42.4745	242.771	0.0762906	14.3537	-12.3071	1	202016	145	162523605
50.6708	117.972	0.0912877	25.5088	-17.4899	1	199021	411	507100712
88.3643	121.579	0.0312952	-17.368	-13.0598	1	199021	634	754395254
71.731	307.562	0.0505031	23.2055	29.0198	1	201097	254	327890704
56.7962	135.289	0.0468754	-26.9847	-22.1088	1	201174	245	161339722
76.8553	122.637	0.0261595	-14.0307	-13.1866	1	199008	400	506263693
98.2874	157.7	0.0349169	-16.4188	-20.3371	1	202478	379	419252289
55.0496	94.9394	0.178058	-28.7144	-15.8618	1	199409	602	725211803
79.4242	108.829	0.172574	14.2943	16.395	1	199864	172	242713640
96.3821	162.318	0.0268751	-17.5111	-18.6055	1	201611	103	47480849
68.179	98.2928	0.216989	-23.1871	-15.7101	1	199699	325	393315557
109.228	295.13	0.0313457	-21.6619	-20.8635	1	201278	151	181192793
133.271	211.124	0.0429615	-30.6927	-24.8798	1	199877	115	129449059
73.0436	148.375	0.0342128	15.5376	-19.957	1	201671	154	219617675
81.6911	225.225	0.100715	16.1222	20.9778	1	199864	375	488213920
57.7742	199.075	0.0997429	-17.549	-22.6581	1	199877	424	441386056
111.332	163.111	0.046096	-17.0405	-18.9194	1	199435	157	158943680
58.9606	67.6098	0.0645983	-26.2973	-13.6938	1	200041	62	15331946
68.3562	127.108	0.0350531	12.2167	15.0778	1	202973	1270	1076723491
43.2322	104.533	0.108377	-69.2235	26.1287	1	199812	563	659156617
63.7036	102.622	0.0425539	-15.3149	-12.8293	1	200600	657	849810795
81.0866	195.702	0.0306758	-17.9199	-13.7713	1	200075	339	402632327
40.5721	100.594	0.0350921	-20.6758	12.0403	1	200075	402	481604060
76.8864	120.961	0.0383763	-16.9423	-19.3693	1	201278	851	1081172510
56.0293	69.076	0.0550647	-27.9019	-23.6388	1	199409	1240	1355578885
23.1747	95.3251	0.0742259	27.127	-38.2139	1	200042	338	279456308
69.1817	95.1323	0.0481703	-14.8114	-32.4417	1	201173	178	155816985
94.7733	388.737	0.0537899	-14.6804	-14.7618	1	201168	625	680695625
84.3057	277.476	0.0673269	-15.6844	-15.8998	1	200491	236	292397177
106.533	189.294	0.0456788	-22.3233	-13.0912	1	202328	71	59029024
71.879	95.6846	0.0620127	-25.6011	-27.8231	1	199008	104	92558216
70.1959	117.861	0.0389514	-18.6056	-17.367	1	202178	333	418348591
82.0269	206.165	0.0521673	23.2116	-33.1376	1	200991	962	1151390622
74.881	133.932	0.082669	-25.2102	15.0003	1	202504	1515	1670034606
81.902	173.736	0.0272733	-12.249	-15.1209	1	200244	271	396453098
74.0572	122.535	0.0384229	-19.7768	-17.0083	1	201191	1359	1718943238
78.335	113.338	0.0528582	-17.1673	-22.2725	1	199608	263	312199654
41.507	146.546	0.0638021	-36.7375	18.0281	1	201278	1528	1731529920
71.2487	119.204	0.0688243	-19.0404	-18.2767	1	202504	122	116641353
25.6666	64.1018	0.211741	-50.1156	16.2246	1	201671	492	613271943
43.7413	61.1337	0.0627112	-40.1198	-20.2071	1	200245	340	368291335
84.0092	167.034	0.0606826	-25.3555	-22.8441	1	202087	62	89511974
85.6378	193.204	0.028535	-14.1648	-17.5143	1	202972	348	465535325
80.3291	119.79	0.0500571	-23.4596	-13.7697	1	202389	199	241236875
65.7071	107.701	0.0402966	-18.0558	-20.127	1	199608	998	1129296481
122.446	327.577	0.0372454	23.0754	19.2864	1	202178	1439	1557258668
75.6962	366.258	0.0797418	13.9141	12.3889	1	199877	621	617478375
62.6094	211.247	0.0239642	-12.8739	-12.37	1	199572	56	49566699
77.409	183.394	0.029377	-14.4918	-18.5427	1	200991	347	473128364
92.7883	162.606	0.0811867	-26.4538	24.0312	1	199608	731	851287502
