PDG	Ctau	Acceptance	StatError
1000022	1.65	0.0389		0.0134
1000022	3.3	0.0574		0.0141
1000022	6.6	0.0669		0.0122
1000022	9.9	0.0692		0.0107
1000022	13.2	0.0703		0.0095
1000022	16.5	0.0710		0.0087
1000022	33	0.0716		0.0065
1000022	66	0.0669		0.0049
1000022	99	0.0605		0.0041
1000022	132	0.0543		0.0036
1000022	165	0.0489		0.0033
1000022	330	0.0311		0.0023
1000022	660	0.0174		0.0028
1000022	990	0.0126		0.0031
1000022	1320	0.0104		0.0031
1000022	1650	0.0091		0.0031
1000022	3300	0.0069		0.0029
1000022	6600	0.0059		0.0027
1000022	9900	0.0056		0.0026
1000022	1.32e+04	0.0055		0.0026
1000022	1.65e+04	0.0054		0.0026
