PDG	Ctau	Acceptance	StatError
6001113	0.1	0.7243		0.2753
6001113	0.2	0.7722		0.1710
6001113	0.4	0.7779		0.0985
6001113	0.6	0.7719		0.0689
6001113	0.8	0.7673		0.0535
6001113	1	0.7655		0.0439
6001113	2	0.7723		0.0235
6001113	4	0.7838		0.0131
6001113	6	0.7896		0.0099
6001113	8	0.7933		0.0086
6001113	10	0.7957		0.0082
6001113	20	0.8058		0.0148
6001113	40	0.8279		0.0307
6001113	60	0.8402		0.0373
6001113	80	0.8470		0.0404
6001113	100	0.8513		0.0422
6001113	200	0.8602		0.0453
6001113	400	0.8647		0.0467
6001113	600	0.8662		0.0471
6001113	800	0.8670		0.0473
6001113	1000	0.8675		0.0475
6002113	1	0.9416		0.0681
6002113	2	0.8286		0.1305
6002113	4	0.8000		0.0951
6002113	6	0.8090		0.0682
6002113	8	0.8141		0.0519
6002113	10	0.8156		0.0415
6002113	20	0.8108		0.0214
6002113	40	0.7965		0.0121
6002113	60	0.7652		0.0094
6002113	80	0.7235		0.0086
6002113	100	0.6795		0.0088
6002113	200	0.5081		0.0172
6002113	400	0.3880		0.0379
6002113	600	0.3550		0.0489
6002113	800	0.3414		0.0552
6002113	1000	0.3343		0.0591
6002113	2000	0.3224		0.0674
6002113	4000	0.3177		0.0718
6002113	6000	0.3163		0.0732
6002113	8000	0.3156		0.0739
6002113	1e+04	0.3152		0.0744
6003113	10	0.8174		0.2426
6003113	20	0.7889		0.1619
6003113	40	0.7646		0.0949
6003113	60	0.7491		0.0688
6003113	80	0.7202		0.0538
6003113	100	0.6832		0.0441
6003113	200	0.5062		0.0242
6003113	400	0.3181		0.0127
6003113	600	0.2291		0.0083
6003113	800	0.1786		0.0062
6003113	1000	0.1464		0.0050
6003113	2000	0.1138		0.0404
6003113	4000	0.2388		0.1923
6003113	6000	0.2863		0.2442
6003113	8000	0.3058		0.2659
6003113	1e+04	0.3162		0.2774
6003113	2e+04	0.3343		0.2976
6003113	4e+04	0.3421		0.3064
6003113	6e+04	0.3445		0.3091
6003113	8e+04	0.3457		0.3105
6003113	1e+05	0.3464		0.3113
