PDG	Ctau	Acceptance	StatError
6001113	0.015	0.9777		0.0214
6001113	0.03	0.9216		0.0497
6001113	0.06	0.8748		0.0500
6001113	0.09	0.8581		0.0425
6001113	0.12	0.8491		0.0360
6001113	0.15	0.8427		0.0310
6001113	0.3	0.8224		0.0185
6001113	0.6	0.8067		0.0114
6001113	0.9	0.8001		0.0090
6001113	1.2	0.7966		0.0080
6001113	1.5	0.7951		0.0078
6001113	3	0.8023		0.0138
6001113	6	0.8249		0.0308
6001113	9	0.8374		0.0387
6001113	12	0.8444		0.0426
6001113	15	0.8487		0.0449
6001113	30	0.8579		0.0490
6001113	60	0.8625		0.0508
6001113	90	0.8641		0.0514
6001113	120	0.8649		0.0516
6001113	150	0.8653		0.0518
6002113	0.15	0.4247		0.3180
6002113	0.3	0.5403		0.2507
6002113	0.6	0.6799		0.1381
6002113	0.9	0.7236		0.0873
6002113	1.2	0.7416		0.0625
6002113	1.5	0.7512		0.0484
6002113	3	0.7721		0.0230
6002113	6	0.7656		0.0122
6002113	9	0.7259		0.0094
6002113	12	0.6762		0.0087
6002113	15	0.6270		0.0087
6002113	30	0.4625		0.0132
6002113	60	0.3568		0.0208
6002113	90	0.3236		0.0241
6002113	120	0.3079		0.0259
6002113	150	0.2989		0.0270
6002113	300	0.2817		0.0292
6002113	600	0.2736		0.0304
6002113	900	0.2710		0.0307
6002113	1200	0.2697		0.0309
6002113	1500	0.2689		0.0310
6003113	1.5	0.5055		0.3553
6003113	3	0.5958		0.2801
6003113	6	0.7405		0.1337
6003113	9	0.7434		0.0750
6003113	12	0.7024		0.0522
6003113	15	0.6509		0.0417
6003113	30	0.4413		0.0233
6003113	60	0.2605		0.0113
6003113	90	0.1852		0.0072
6003113	120	0.1437		0.0053
6003113	150	0.1172		0.0042
6003113	300	0.0594		0.0034
6003113	600	0.0305		0.0040
6003113	900	0.0226		0.0039
6003113	1200	0.0191		0.0038
6003113	1500	0.0173		0.0037
6003113	3000	0.0139		0.0034
6003113	6000	0.0124		0.0032
6003113	9000	0.0120		0.0032
6003113	1.2e+04	0.0118		0.0031
6003113	1.5e+04	0.0116		0.0031
