PDG	Ctau	Acceptance	StatError
6001113	0.13	0.0418		0.0184
6001113	0.26	0.0434		0.0121
6001113	0.52	0.0476		0.0087
6001113	0.78	0.0498		0.0073
6001113	1.04	0.0509		0.0065
6001113	1.3	0.0512		0.0059
6001113	2.6	0.0512		0.0044
6001113	5.2	0.0519		0.0033
6001113	7.8	0.0528		0.0029
6001113	10.4	0.0534		0.0027
6001113	13	0.0538		0.0027
6001113	26	0.0523		0.0034
6001113	52	0.0459		0.0050
6001113	78	0.0422		0.0056
6001113	104	0.0401		0.0059
6001113	130	0.0387		0.0061
6001113	260	0.0359		0.0064
6001113	520	0.0345		0.0065
6001113	780	0.0340		0.0065
6001113	1040	0.0337		0.0065
6001113	1300	0.0336		0.0065
6002113	1.3	0.0788		0.0263
6002113	2.6	0.0657		0.0165
6002113	5.2	0.0600		0.0105
6002113	7.8	0.0577		0.0083
6002113	10.4	0.0560		0.0071
6002113	13	0.0546		0.0063
6002113	26	0.0495		0.0044
6002113	52	0.0416		0.0031
6002113	78	0.0351		0.0025
6002113	104	0.0302		0.0022
6002113	130	0.0264		0.0019
6002113	260	0.0160		0.0012
6002113	520	0.0094		0.0009
6002113	780	0.0072		0.0009
6002113	1040	0.0062		0.0008
6002113	1300	0.0056		0.0008
6002113	2600	0.0045		0.0008
6002113	5200	0.0040		0.0007
6002113	7800	0.0038		0.0007
6002113	1.04e+04	0.0038		0.0007
6002113	1.3e+04	0.0037		0.0007
6003113	13	0.0532		0.0195
6003113	26	0.0487		0.0132
6003113	52	0.0415		0.0090
6003113	78	0.0352		0.0071
6003113	104	0.0303		0.0059
6003113	130	0.0265		0.0051
6003113	260	0.0161		0.0030
6003113	520	0.0090		0.0017
6003113	780	0.0062		0.0012
6003113	1040	0.0048		0.0009
6003113	1300	0.0039		0.0007
6003113	2600	0.0021		0.0004
6003113	5200	0.0012		0.0002
6003113	7800	0.0009		0.0002
6003113	1.04e+04	0.0008		0.0002
6003113	1.3e+04	0.0007		0.0001
6003113	2.6e+04	0.0006		0.0001
6003113	5.2e+04	0.0006		0.0001
6003113	7.8e+04	0.0005		0.0001
6003113	1.04e+05	0.0005		0.0001
6003113	1.3e+05	0.0005		0.0001
