PDG	Ctau	Acceptance	StatError
1000022	0.6	0.5312		0.2805
1000022	1.2	0.6045		0.2446
1000022	2.4	0.6780		0.1569
1000022	3.6	0.6979		0.1062
1000022	4.8	0.7056		0.0786
1000022	6	0.7098		0.0620
1000022	12	0.7181		0.0305
1000022	24	0.7129		0.0166
1000022	36	0.6935		0.0126
1000022	48	0.6678		0.0111
1000022	60	0.6400		0.0109
1000022	120	0.5238		0.0214
1000022	240	0.4309		0.0550
1000022	360	0.4013		0.0751
1000022	480	0.3880		0.0869
1000022	600	0.3807		0.0944
1000022	1200	0.3677		0.1105
1000022	2400	0.3621		0.1189
1000022	3600	0.3603		0.1218
1000022	4800	0.3595		0.1232
1000022	6000	0.3590		0.1241
