PDG	Ctau	Acceptance	StatError
1000022	1.65	0.0853		0.0336
1000022	3.3	0.0788		0.0214
1000022	6.6	0.0847		0.0149
1000022	9.9	0.0891		0.0123
1000022	13.2	0.0916		0.0108
1000022	16.5	0.0930		0.0098
1000022	33	0.0932		0.0073
1000022	66	0.0856		0.0054
1000022	99	0.0768		0.0046
1000022	132	0.0690		0.0040
1000022	165	0.0624		0.0037
1000022	330	0.0423		0.0027
1000022	660	0.0285		0.0022
1000022	990	0.0237		0.0021
1000022	1320	0.0213		0.0021
1000022	1650	0.0200		0.0020
1000022	3300	0.0173		0.0020
1000022	6600	0.0161		0.0019
1000022	9900	0.0157		0.0019
1000022	1.32e+04	0.0155		0.0019
1000022	1.65e+04	0.0153		0.0019
