PDG	Ctau	Acceptance	StatError
6001113	0.015	0.8251		0.0326
6001113	0.03	0.8215		0.0233
6001113	0.06	0.8212		0.0164
6001113	0.09	0.8200		0.0134
6001113	0.12	0.8179		0.0116
6001113	0.15	0.8156		0.0104
6001113	0.3	0.8073		0.0077
6001113	0.6	0.8016		0.0059
6001113	0.9	0.7995		0.0052
6001113	1.2	0.7981		0.0049
6001113	1.5	0.7969		0.0048
6001113	3	0.7964		0.0066
6001113	6	0.8044		0.0118
6001113	9	0.8104		0.0148
6001113	12	0.8141		0.0166
6001113	15	0.8166		0.0178
6001113	30	0.8222		0.0202
6001113	60	0.8252		0.0214
6001113	90	0.8263		0.0219
6001113	120	0.8268		0.0221
6001113	150	0.8271		0.0222
6002113	0.15	0.7809		0.0352
6002113	0.3	0.7793		0.0258
6002113	0.6	0.7853		0.0182
6002113	0.9	0.7897		0.0147
6002113	1.2	0.7923		0.0127
6002113	1.5	0.7940		0.0114
6002113	3	0.7967		0.0081
6002113	6	0.7799		0.0061
6002113	9	0.7383		0.0055
6002113	12	0.6878		0.0055
6002113	15	0.6379		0.0058
6002113	30	0.4564		0.0091
6002113	60	0.3073		0.0191
6002113	90	0.2514		0.0240
6002113	120	0.2235		0.0262
6002113	150	0.2071		0.0274
6002113	300	0.1752		0.0291
6002113	600	0.1600		0.0296
6002113	900	0.1550		0.0297
6002113	1200	0.1526		0.0298
6002113	1500	0.1511		0.0298
6003113	1.5	0.8156		0.0292
6003113	3	0.8070		0.0223
6003113	6	0.7908		0.0166
6003113	9	0.7484		0.0140
6003113	12	0.6957		0.0128
6003113	15	0.6430		0.0122
6003113	30	0.4474		0.0103
6003113	60	0.2706		0.0075
6003113	90	0.1927		0.0058
6003113	120	0.1491		0.0046
6003113	150	0.1213		0.0039
6003113	300	0.0623		0.0023
6003113	600	0.0333		0.0023
6003113	900	0.0247		0.0025
6003113	1200	0.0208		0.0026
6003113	1500	0.0186		0.0026
6003113	3000	0.0145		0.0025
6003113	6000	0.0127		0.0025
6003113	9000	0.0122		0.0025
6003113	1.2e+04	0.0119		0.0025
6003113	1.5e+04	0.0117		0.0024
