PDG	Ctau	Acceptance	StatError
6001113	0.04	0.2093		0.2077
6001113	0.08	0.4205		0.2085
6001113	0.16	0.5331		0.1180
6001113	0.24	0.5474		0.0815
6001113	0.32	0.5553		0.0621
6001113	0.4	0.5641		0.0498
6001113	0.8	0.5902		0.0246
6001113	1.6	0.5918		0.0135
6001113	2.4	0.5886		0.0103
6001113	3.2	0.5870		0.0090
6001113	4	0.5868		0.0087
6001113	8	0.5990		0.0222
6001113	16	0.6429		0.0748
6001113	24	0.6690		0.0997
6001113	32	0.6837		0.1115
6001113	40	0.6929		0.1181
6001113	80	0.7117		0.1298
6001113	160	0.7213		0.1348
6001113	240	0.7244		0.1364
6001113	320	0.7260		0.1371
6001113	400	0.7270		0.1375
6002113	0.4	0.8597		0.1894
6002113	0.8	0.7426		0.1825
6002113	1.6	0.6544		0.1016
6002113	2.4	0.6235		0.0677
6002113	3.2	0.6056		0.0515
6002113	4	0.5940		0.0421
6002113	8	0.5694		0.0233
6002113	16	0.5405		0.0133
6002113	24	0.5031		0.0100
6002113	32	0.4633		0.0086
6002113	40	0.4262		0.0080
6002113	80	0.3035		0.0107
6002113	160	0.2226		0.0183
6002113	240	0.1970		0.0215
6002113	320	0.1849		0.0232
6002113	400	0.1780		0.0241
6002113	800	0.1648		0.0259
6002113	1600	0.1585		0.0268
6002113	2400	0.1565		0.0271
6002113	3200	0.1555		0.0272
6002113	4000	0.1548		0.0273
6003113	4	0.3803		0.2180
6003113	8	0.4105		0.1476
6003113	16	0.4478		0.0971
6003113	24	0.4354		0.0697
6003113	32	0.4081		0.0532
6003113	40	0.3789		0.0425
6003113	80	0.2721		0.0206
6003113	160	0.1720		0.0095
6003113	240	0.1244		0.0060
6003113	320	0.0970		0.0044
6003113	400	0.0794		0.0035
6003113	800	0.0426		0.0025
6003113	1600	0.0247		0.0025
6003113	2400	0.0194		0.0025
6003113	3200	0.0169		0.0025
6003113	4000	0.0156		0.0025
6003113	8000	0.0130		0.0023
6003113	1.6e+04	0.0119		0.0023
6003113	2.4e+04	0.0115		0.0022
6003113	3.2e+04	0.0113		0.0022
6003113	4e+04	0.0112		0.0022
