PDG	Ctau	Acceptance	StatError
6001113	0.08	0.5179		0.0433
6001113	0.16	0.5422		0.0306
6001113	0.32	0.5584		0.0215
6001113	0.48	0.5619		0.0175
6001113	0.64	0.5630		0.0151
6001113	0.8	0.5636		0.0136
6001113	1.6	0.5652		0.0099
6001113	3.2	0.5659		0.0074
6001113	4.8	0.5652		0.0065
6001113	6.4	0.5640		0.0061
6001113	8	0.5626		0.0060
6001113	16	0.5495		0.0094
6001113	32	0.5136		0.0265
6001113	48	0.4893		0.0380
6001113	64	0.4741		0.0447
6001113	80	0.4640		0.0490
6001113	160	0.4416		0.0578
6001113	320	0.4294		0.0622
6001113	480	0.4252		0.0637
6001113	640	0.4231		0.0644
6001113	800	0.4218		0.0648
6002113	0.8	0.4742		0.0416
6002113	1.6	0.5013		0.0299
6002113	3.2	0.5263		0.0214
6002113	4.8	0.5359		0.0175
6002113	6.4	0.5411		0.0152
6002113	8	0.5447		0.0136
6002113	16	0.5549		0.0098
6002113	32	0.5555		0.0074
6002113	48	0.5361		0.0064
6002113	64	0.5067		0.0061
6002113	80	0.4745		0.0059
6002113	160	0.3380		0.0085
6002113	320	0.2060		0.0207
6002113	480	0.1557		0.0248
6002113	640	0.1316		0.0258
6002113	800	0.1178		0.0260
6002113	1600	0.0922		0.0252
6002113	3200	0.0808		0.0243
6002113	4800	0.0771		0.0239
6002113	6400	0.0754		0.0237
6002113	8000	0.0743		0.0236
6003113	8	0.5810		0.0438
6003113	16	0.5939		0.0311
6003113	32	0.5801		0.0221
6003113	48	0.5478		0.0181
6003113	64	0.5095		0.0158
6003113	80	0.4715		0.0143
6003113	160	0.3295		0.0103
6003113	320	0.1990		0.0068
6003113	480	0.1418		0.0051
6003113	640	0.1101		0.0041
6003113	800	0.0902		0.0034
6003113	1600	0.0485		0.0020
6003113	3200	0.0281		0.0016
6003113	4800	0.0220		0.0016
6003113	6400	0.0191		0.0016
6003113	8000	0.0175		0.0016
6003113	1.6e+04	0.0145		0.0015
6003113	3.2e+04	0.0131		0.0015
6003113	4.8e+04	0.0127		0.0015
6003113	6.4e+04	0.0125		0.0015
6003113	8e+04	0.0123		0.0015
