2.59  0.18  1.00 2.78  0.12  0.77 2.05  0.10  0.48 1.98  0.11  0.55 2.47  0.25  1.0
6.89  0.29  2.69 6.70  0.19  1.82 5.40  0.16  1.24 4.90  0.17  1.30 5.96  0.38  2.40
9.54  0.33  3.61 8.48  0.22  2.32 6.55  0.18  1.51 5.45  0.18  1.37 6.69  0.40  2.59
8.26  0.30  3.03 7.74  0.21  2.03 6.16  0.17  1.40 5.20  0.18  1.23 5.86  0.36  2.31
8.67  0.30  3.08 6.72  0.19  1.73 5.16  0.16  1.13 3.92  0.15  0.92 3.07  0.23  1.40
6.51  0.26  2.24 5.59  0.17  1.40 3.89  0.14  0.84 2.85  0.13  0.66 2.41  0.19  1.08
4.59  0.21  1.52 4.01  0.15  0.98 2.99  0.12  0.62 2.50  0.12  0.54 1.64  0.15  0.57
3.89  0.19  1.25 3.04  0.13  0.72 2.47  0.11  0.50 1.61  0.09  0.35 1.37  0.14  0.46
2.65  0.16  0.82 2.36  0.11  0.54 1.72  0.09  0.35 1.13  0.08  0.25 0.80  0.10  0.26
2.23  0.14  0.65 1.78  0.09  0.40 1.19  0.07  0.24 0.84  0.07  0.19 0.49  0.08  0.31
1.41  0.11  0.40 1.14  0.07  0.25 0.92  0.06  0.18 0.53  0.05  0.12 0.39  0.07  0.26
1.31  0.10  0.36 0.76  0.06  0.16 0.58  0.05  0.12 0.32  0.04  0.10 0.30  0.07  0.21
0.77  0.08  0.21 0.59  0.05  0.13 0.45  0.04  0.09 0.37  0.04  0.12 0.24  0.06  0.17
0.51  0.06  0.14 0.51  0.05  0.11 0.36  0.04  0.07 0.18  0.03  0.05 0.05  0.02  0.03
0.47  0.06  0.13 0.32  0.04  0.07 0.24  0.03  0.05 0.13  0.03  0.04 0.08  0.03  0.07
